Token,ShortName,Series,CompanyName,ticksize,Lotsize,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISINCode,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,Symbol,InstrumentType,PermittedToTrade,IssueCapital,WarningPercent,FreezePercent,CreditRating,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,BoardLotQty,Name,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,ExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MFill,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,EGM,AGM,Interest,Bonus,Rights,Dividends,LocalUpdateDateTime,DeleteFlag,Remarks,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotlMarketEligibility,SpotMarketEligibility,AuctionlMarketEligibility,MarginPercentage,ExchangeCode
757777,RAMTEL,SM,RAMA TELECOM LIMITED,0.01,1,,,0,10,INE14W901010,75,59,75,59,,,,0,0,0,81.7,54.5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,RTL
757781,ICIP15,EQ,ICICI PRU NIF TOP 15 EQ WE ETF,0.01,1,,,0,10,INF109K1A344,10.96,10.2,10.96,10.2,,,,0,0,0,12.36,8.24,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,TOP15IETF
757796,INFRE1,BE,INFIBEAM AVENUES LIMITED RE,0.01,1,,,0,10,INE483S20012,4.85,4.04,4.85,4.04,,,,0,0,0,6.42,2.75,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,INFIBE-RE
757801,INDCRO,EQ,INDOGULF CROPSCIENCES LIMITED,0.01,1,,,0,10,INE05J901018,122,101,121.5,101,,,,0,0,0,139.81,93.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,IGCL
757806,PROTEC,SM,PRO FX TECH LIMITED,0.01,1,,,0,10,INE0VJT01017,136.9,95,136.9,95,,,,0,0,0,141.7,94.5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,PROFX
757810,MOVMED,SM,MOVING MEDIA ENTERTAINMENT LTD,0.01,1,,,0,10,INE0XM301010,78.25,67.75,78.25,67.75,,,,0,0,0,86.2,57.5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MMEL
757814,GROINT,EQ,GROWW NIFTY INDIA INTERNET ETF,0.01,1,,,0,10,INF666M01LI4,11.5,9.17,11.5,9.17,,,,0,0,0,12.14,8.09,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GROWWNET
757817,MOT150,EQ,MOTILAL OSWAL MDCP150 M50 ETF,0.01,1,,,0,10,INF247L01FQ0,65.85,62.72,65.85,62.72,,,,0,0,0,76.04,50.69,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MOMIDMTM
757819,BANRE1,BE,BANNARI AMMAN SPINNING MILL RE,0.01,1,,,0,10,INE186H20022,4.35,2.2,4.35,2.2,,,,0,0,0,5.39,2.31,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BASML-RE1
757850,CRILIM,EQ,CRIZAC LIMITED,0.01,1,,,0,2,INE0S4R01014,366.7,275,366.7,275,,,,0,0,0,364.71,298.4,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,CRIZAC
757868,SPUNON,ST,SPUNWEB NONWOVEN LIMITED,0.01,1,,,0,10,INE19QH01010,166.45,151,158.55,151,,,,0,0,0,168.45,152.45,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SPUNWEB
757869,ADAN17,N9,8.95 ADANI ENTERPRISES LTDJUL,0.01,1,,,0,1000,INE423A07450,0,0,1049,998,,,,0,0,0,1200,800,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,895AEL27
757870,ADAN18,NA,0 ADANI ENTERPRISESLTD JUL27,0.01,1,,,0,1000,INE423A07401,0,0,0,0,,,,0,0,0,1200,800,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,AEL17725
