ShortName,CompanyName,ISINCode,ExchangeCode
ADVINF,ADVAIT ENERGY TRANSITIONS LIMI,INE0ALI01010,ADVAIT
ADVLAB,ADVIK LABORATORIES LTD,INE537C01019,ADVIKLA
ADVMET,ADVANCE METERING TECH LTD,INE436N01029,AMTL
ADVMIC,ADVANCED MICRONIC DEVICES LTD,INE903C01013,ADVNCMIC
ADVMUL,ADVANCE MULTITECH,,
ADVOFS,ADVANCE LIFESTYLES LIMITED OFS,INE000000042,ADVLIFE
ADVPET,ADVANCE PETROCHEMICA,INE334N01018,ADVPETR-B
ADVPOW,ADVANCE POWERINFRA TECH LIMITE,INE009D01017,ADVPOWER
ADVRE1,ADVIK CAPITAL LTD RE,INE178T20032,ADVCAP-RE
ADVSY,ADVANCE SYNTEX LIMITED,INE184U01012,ASYL
ADVSYN,ASM TECHNOLOGIES LTD,INE867C01010,ASMTEC
ADVTRA,GOYAL ALUMINIUMS LIMITED,INE705X01026,GOYALALUM
AECENT,AEC ENTERPRISES,,
AECIND,AEC (I) LTD.,,
AEGLOG,AEGIS LOGISTICS LTD,INE208C01025,AEGISLOG
AEGVOP,AEGIS VOPAK TERMINALS LIMITED,INE0INX01018,AEGISVOPAK
AELCOM,AELEA COMMODITIES LIMITED,INE0T3401029,ACLD
AEOINV,AEONIAN INVESTMENTS CO LTD,INE421F01027,AEONIA
AERIND,AEROFLEX INDUSTRIES LIMITED,INE024001021,AEROFLEX
AERRE1,AERPACE INDUSTRIES LTD RE,INE175N20015,AERPACE-RE
AESINV,AXON VENTURES LIMITED,INE663D01011,AXONVL
AETIND,AETHER INDUSTRIES LIMITED,INE0BWX01014,AETHER
AETOFS,AETHER INDUSTRIES LTD OFS,INE000000233,AETHER
AFCHOL,AFCOM HOLDINGS LIMITED,INE0OXY01013,AFCOM
AFCINF,AFCONS INFRASTRUCTURE LIMITED,INE101I01011,AFCONS
AFENT,A F ENTERPRISES LIMITED,INE663P01015,AFEL
AFEPP1,A F ENTERPRISES LTD PP,IN9663P01013,AFELPP
AFFIND,AFFLE 3I LIMITED,INE00WC01027,AFFLE
AFFRE1,AFFORDABLE ROBOTIC&AUTO LTD RE,INE692Z20013,AFFORD-RE
AFFROB,AFFORDABLE ROBOTIC AUTOM LTD,INE692Z01013,AFFORDABLE
AFL,INSPIRISYS SOLUTIONS LIMITED,INE020G01017,INSPIRISYS
AFLCD,8.38% AXIS FIN LTD 11 JAN 34,INE891K08174,838AFL34
AFLOFS,ACCEL FRONTLINE LIMITED OFS,INE000000091,AFLOFS
AFRE1,A F ENTERPRISES LIMITED RE,INE663P20023,AFEL-RE1
AFSND1,10.2% ARMAN FINANCIAL JAN 26,INE109C07097,1020AFSL26
AFTIND,AFT INDUSTRIES LTD,INE417A01018,
AFTINF,AFTEK LTD,INE796A01023,AFTEK
AGAIND,AGARWAL INDUSTRIAL CORPORATION,INE204E01012,AGARIND
